signature_length;signature;subsig_to;subsig_from;tail_to;tail_from;cross_edges_count;multinomial_to;multinomial_from;ratio;cross_edge
4;(3, 2, 2, 1);(1, 2, 2, 1);(2, 2, 2);(0, 0);(3, 0);5;180;90;1/18;((0, 1, 1, 2, 2, 0, 3, 0), (1, 0, 1, 2, 2, 0, 3, 0))
4;(3, 2, 2, 1);(2, 1, 2, 1);(1, 2, 2, 1);(1, 0);(0, 0);50;180;180;5/18;((0, 1, 2, 2, 3, 1, 0, 0), (0, 1, 2, 3, 2, 1, 0, 0))
4;(3, 2, 2, 1);(2, 2, 1, 1);(2, 1, 2, 1);(2, 0);(1, 0);48;180;180;4/15;((0, 0, 2, 1, 3, 2, 1, 0), (0, 0, 1, 2, 3, 2, 1, 0))
4;(3, 2, 2, 1);(2, 2, 2);(2, 2, 1, 1);(3, 0);(2, 0);10;90;180;1/18;((0, 0, 1, 2, 1, 3, 2, 0), (0, 0, 1, 1, 2, 3, 2, 0))
4;(3, 2, 2, 1);(3, 1, 2);(2, 2, 2);(1, 3);(0, 3);13;60;90;13/90;((0, 0, 1, 2, 2, 1, 0, 3), (0, 1, 0, 2, 2, 1, 0, 3))
4;(3, 2, 2, 1);(3, 2, 1);(3, 1, 2);(2, 3);(1, 3);9;60;60;3/20;((0, 0, 0, 2, 1, 2, 1, 3), (0, 0, 0, 1, 2, 2, 1, 3))
4;(3, 3, 1, 1);(2, 3, 1, 1);(3, 3, 1);(0,);(3,);56;420;140;2/5;((0, 0, 1, 1, 1, 2, 0, 3), (0, 0, 1, 1, 2, 1, 0, 3))
4;(3, 3, 1, 1);(3, 2, 1, 1);(2, 3, 1, 1);(1,);(0,);162;420;420;27/70;((0, 0, 1, 1, 2, 3, 1, 0), (0, 0, 1, 1, 3, 2, 1, 0))
4;(3, 3, 1, 1);(3, 3, 0, 1);(3, 2, 1, 1);(2,);(1,);56;140;420;2/15;((0, 0, 0, 1, 3, 1, 2, 1), (0, 0, 0, 1, 1, 3, 2, 1))
4;(3, 3, 1, 1);(3, 3, 1);(3, 3, 0, 1);(3,);(2,);15;140;140;3/28;((0, 0, 1, 0, 1, 1, 3, 2), (0, 0, 0, 1, 1, 1, 3, 2))
4;(3, 3, 2, 1);(2, 3, 2, 1);(3, 3, 2);(0,);(3,);117;1680;560;117/560;((0, 0, 1, 1, 1, 2, 2, 0, 3), (0, 1, 0, 1, 1, 2, 2, 0, 3))
4;(3, 3, 2, 1);(3, 2, 2, 1);(2, 3, 2, 1);(1,);(0,);548;1680;1680;137/420;((0, 0, 1, 1, 3, 2, 2, 1, 0), (0, 0, 1, 1, 2, 3, 2, 1, 0))
4;(3, 3, 2, 1);(3, 3, 1, 1);(3, 2, 2, 1);(2,);(1,);416;1120;1680;26/105;((0, 0, 0, 1, 1, 2, 3, 2, 1), (0, 0, 0, 1, 2, 1, 3, 2, 1))
4;(3, 3, 2, 1);(3, 3, 2);(3, 3, 1, 1);(3,);(2,);138;560;1120;69/560;((0, 0, 0, 1, 1, 1, 2, 3, 2), (0, 0, 0, 1, 1, 2, 1, 3, 2))
4;(3, 3, 2, 2);(1, 3, 2, 2);(2, 2, 2, 2);(0, 0);(1, 0);259;1680;2520;37/360;((0, 1, 1, 2, 2, 3, 3, 0, 1, 0), (1, 0, 1, 2, 2, 3, 3, 0, 1, 0))
4;(3, 3, 2, 2);(2, 2, 2, 2);(2, 3, 2, 1);(1, 0);(3, 0);281;2520;1680;281/1680;((0, 0, 1, 1, 3, 2, 2, 1, 3, 0), (0, 0, 1, 1, 2, 3, 2, 1, 3, 0))
4;(3, 3, 2, 2);(2, 3, 1, 2);(1, 3, 2, 2);(2, 0);(0, 0);352;1680;1680;22/105;((0, 1, 1, 1, 2, 3, 3, 2, 0, 0), (1, 0, 1, 1, 2, 3, 3, 2, 0, 0))
4;(3, 3, 2, 2);(2, 3, 2, 1);(2, 3, 1, 2);(3, 0);(2, 0);350;1680;1680;5/24;((0, 0, 1, 1, 1, 2, 3, 3, 2, 0), (0, 0, 1, 1, 2, 1, 3, 3, 2, 0))
4;(3, 3, 2, 2);(2, 3, 2, 2);(3, 3, 2, 1);(0,);(3,);1678;7560;5040;839/2520;((0, 0, 1, 1, 1, 2, 2, 3, 0, 3), (0, 0, 1, 1, 2, 1, 2, 3, 0, 3))
4;(3, 3, 2, 2);(3, 1, 2, 2);(3, 2, 2, 1);(1, 1);(3, 1);351;1680;1680;117/560;((0, 0, 0, 1, 2, 2, 3, 1, 3, 1), (0, 0, 1, 0, 2, 2, 3, 1, 3, 1))
